title,category,severity,status,content,resolution,root_cause,affected_system,tags
결제 서비스 타임아웃 오류,결제,critical,resolved,"고객이 결제 완료 버튼 클릭 후 30초 이상 응답 없음. 일부 고객 결제 실패 및 중복 결제 발생.","1. 결제 게이트웨이 연결 풀 크기를 10→50으로 확장\n2. 타임아웃 설정 5s→15s 조정\n3. 중복 결제 건 수동 환불 처리\n4. 알림 임계값 조정 (응답시간 3s 초과 시 즉시 알림)","결제 게이트웨이 연결 풀 소진. 블랙프라이데이 트래픽 급증으로 DB 커넥션 한계 도달.",결제시스템/PG연동,"결제,타임아웃,커넥션풀,PG"
로그인 인증 서버 다운,인증,critical,resolved,"사용자 로그인 불가. JWT 토큰 발급 실패. 인증 서버 헬스체크 응답 없음.","1. 인증 서버 인스턴스 재시작\n2. 메모리 누수 패치 배포 (v2.3.1)\n3. 메모리 사용량 모니터링 알림 추가 (80% 초과 시)\n4. 자동 재시작 정책 적용 (OOMKilled 시)","인증 서버 메모리 누수로 OOMKilled. 세션 데이터 미정리 로직의 버그.",인증서버/JWT,"로그인,인증,OOM,메모리누수"
상품 검색 응답 지연,검색,high,resolved,"상품 검색 API 응답 시간 평균 8초 초과. Elasticsearch 클러스터 CPU 85% 이상.","1. Elasticsearch 인덱스 최적화 (불필요 필드 제거)\n2. 검색 쿼리 캐시 활성화 (Redis TTL 5분)\n3. 검색 노드 2개 추가 Scale-out\n4. 복잡한 집계 쿼리를 비동기 배치로 전환","대규모 상품 데이터 업데이트 배치 작업과 검색 쿼리가 동시 실행. Elasticsearch 샤드 불균형.",검색서비스/Elasticsearch,"검색,응답지연,Elasticsearch,캐시"
주문 데이터 정합성 오류,주문,high,resolved,"주문 완료 후 재고가 차감되지 않는 케이스 발생. 일부 주문 건 재고 -1 상태.","1. 재고 차감 트랜잭션 롤백 버그 수정 (PR #4521)\n2. 보상 트랜잭션 로직 추가\n3. 영향받은 392건 수동 재고 동기화\n4. 재고 음수 방지 DB 제약 조건 추가","분산 트랜잭션 처리 중 네트워크 파티션 발생 시 재고 서비스 롤백 미완료.",주문서비스/재고서비스,"주문,재고,트랜잭션,정합성"
배송 추적 API 500 에러,배송,medium,resolved,"택배사 연동 API 호출 시 500 에러 발생. 고객 배송 조회 불가 상태 2시간 지속.","1. 택배사 API 응답 스키마 변경 감지\n2. 파싱 로직 필드명 변경 대응 (trackingNo→trackingNumber)\n3. 배송사 API 버전 관리 문서화\n4. 스키마 변경 모니터링 알람 추가","택배사 측 API 스펙 변경 (사전 공지 없음). 응답 JSON 필드명 변경으로 파싱 실패.",배송추적서비스,"배송,API,파싱에러,500에러"
쿠폰 중복 사용 취약점,보안,high,resolved,"동일 쿠폰을 동시에 여러 요청으로 중복 적용하는 레이스 컨디션 취약점 발견.","1. 쿠폰 사용 처리에 Redis 분산 락 적용 (TTL 10초)\n2. DB 유니크 제약 추가 (user_id + coupon_id)\n3. 이미 발생한 중복 사용 건 취소 및 차액 회수\n4. 침투 테스트 추가","쿠폰 사용 API의 동시성 처리 미비. SELECT 후 UPDATE 사이 락 없음.",쿠폰서비스,"쿠폰,레이스컨디션,보안,분산락"
푸시 알림 미발송,알림,medium,resolved,"신규 주문 확인 푸시 알림이 특정 단말기(Android 14+)에서 수신되지 않음.","1. FCM SDK 업그레이드 (v2.4→v2.6)\n2. Android 14 알림 권한 정책 대응 로직 추가\n3. 알림 발송 실패 재시도 큐 구현\n4. 단말별 발송 성공률 대시보드 추가","Android 14에서 변경된 알림 권한 정책 미대응. FCM SDK 구버전 호환성 이슈.",알림서비스/FCM,"푸시알림,FCM,Android14,SDK"
정산 배치 실패,정산,high,resolved,"익일 새벽 2시 정산 배치 실패. 3,200건 미정산 상태. 매출 집계 오류.","1. 배치 실패 원인 분석: DB 연결 수 한계 (max_connections=100)\n2. 배치 실행 중 연결 풀 최적화 (병렬 처리 수 축소)\n3. 미정산 3,200건 수동 재처리\n4. 배치 실패 즉시 알림 & 자동 재시도 3회 추가","정산 배치가 DB max_connections 한계 도달로 ConnectionError 발생. 병렬 처리 과다.",정산시스템/배치,"정산,배치,DB커넥션,병렬처리"
이미지 업로드 실패,미디어,low,resolved,"상품 이미지 업로드 시 50% 확률로 실패. S3 업로드 타임아웃.","1. S3 멀티파트 업로드로 전환 (5MB 이상)\n2. 업로드 재시도 로직 추가 (최대 3회, 지수 백오프)\n3. CDN 경유 업로드로 변경\n4. 이미지 압축 전처리 추가","이미지 평균 크기 증가 (8MB)로 단일 PUT 업로드 타임아웃 빈발. 네트워크 지연.",미디어서비스/S3,"이미지업로드,S3,타임아웃,멀티파트"
회원 탈퇴 처리 오류,회원,medium,resolved,"회원 탈퇴 요청 후 개인정보가 즉시 삭제되지 않고 72시간 후에도 DB에 잔존.","1. 탈퇴 처리 워크플로우 점검: 비동기 삭제 큐 장애 확인\n2. 큐 재시작 및 밀린 삭제 요청 8,400건 처리\n3. 개인정보 삭제 완료 확인 메커니즘 추가\n4. GDPR/개보법 컴플라이언스 주기적 감사 추가","회원 탈퇴 후 개인정보 비동기 삭제 큐(Kafka)가 컨슈머 그룹 리밸런싱으로 4시간 중단.",회원서비스/Kafka,"회원탈퇴,개인정보,GDPR,Kafka"
